Sl. No.,smiles,Yield,product
D_10_24,O=S(CCC1=C(Cl)C=C(Cl)C=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C[Si](C)(C)[Si](C)(C)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,31,O=S(CCC1=C(Cl)C=C(Cl)C([Si](C)(C)C)=C1)(OC2=C(C#N)C=CC(OC)=C2)=O
Yu_7_1_1,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)CCC3=CC=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].OC(CNC(C)=O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,37,O=C(N(C1=CC=CC=C1C#N)C2=C(C#N)C=CC=C2)CCC3=CC=CC(/C=C/C(OCC)=O)=C3
Yu_4_1_3,O=C(C(F)OC1=C(C#N)C=CC=C1)N(CCC2)C3=C2C(Cl)=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,70,O=C(C(F)OC1=C(C#N)C=CC=C1)N(CCC2)C3=C2C(Cl)=CC(/C=C/C(OCC)=O)=C3
D_9_39,O=C(OC1=C(C#N)C=CC=C1)CC2=CC(Cl)=CC=C2.C=CC(OCCCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,49,O=C(OC1=C(C#N)C=CC=C1)CC2=CC(Cl)=CC(/C=C/C(OCCCC)=O)=C2
D_7_31,O=S(CC1=C(Cl)C(Cl)=CC=C1)(OC2=C(C#N)C=CC=C2)=O.CC(OI(OC(C)=O)C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C[C@H](NC(=O)OC(C)(C)C)C(O)=O.OC(C(F)(F)F)C(F)(F)F,50,O=S(CC1=C(Cl)C(Cl)=CC(OC(C)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_5_29,O=C(OC1=C(C#N)C=CC=C1)CCC2=CC=CC(/C(C)=C/C(OC)=O)=C2.O=C(/C=C\C)OC.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].C(C(F)(F)F)(C(F)(F)F)O.CC(Cl)Cl,55,O=C(OC1=C(C#N)C=CC=C1)CCC2=CC(/C(C)=C/C(OC)=O)=CC(/C(C)=C/C(OC)=O)=C2
D_2_36,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.O=C(/C=C/C1=CC=CC=C1)OC.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,63,O=S(CC1=CC=CC(/C(C2=CC=CC=C2)=C\C(OC)=O)=C1)(OC3=C(C#N)C=CC=C3)=O
Tan_1_3,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OCC2=C(OC)C=CC=C2)=C1.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(CCl)Cl,57,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OCC2=C(OC)C=CC(/C=C/C(OCC)=O)=C2)=C1
D_2_46,O=S(CC1=CC(/C=C/P(OCC)(OCC)=O)=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,72,O=S(CC1=CC(/C=C/P(OCC)(OCC)=O)=CC(/C=C/C(OCC)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_1_20,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=C(C)C=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(N[C@H](C(O)=O)CC1=CC=CC=C1)=O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,77,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=C(C)C=CC(/C=C/C(OCC)=O)=C2
Jin_1_7,N#CC(C=C(OC)C=C1)=C1OCCOC2=CC=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,78,N#CC(C=C(OC)C=C1)=C1OCCOC2=CC=CC(/C=C/C(OCC)=O)=C2
D_7_12,O=S(CC1=CC=C(Br)C=C1)(OC2=C(C#N)C=CC=C2)=O.FC(F)(F)C(=O)O[I](OC(=O)C(F)(F)F)c1ccccc1.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.OC(C(F)(F)F)C(F)(F)F,55,O=S(CC1=CC=C(Br)C(O)=C1)(OC2=C(C#N)C=CC=C2)=O
Li_2_40,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].CC(=O)[O-].[Cu+2].OC(C(F)(F)F)C(F)(F)F,90,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC=CC(/C=C/C(OCC)=O)=C3
Yu_9_12,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2[C@@](CCC3)([H])[C@@]3([H])C4=C2C=C([H])C=C4)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,60,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2[C@@](CCC3)([H])[C@@]3([H])C4=C2C=C(/C=C/C(OCC)=O)C=C4)=O
Yu_7_26,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC=C2)(C)C.O=C(/C=C\C(OCC)=O)OCC.CC(C)(C)C(=O)[O-].CC(C)(C)C(=O)[O-].[Pd+2].O=C([O-])C(C)(C)C.[Ag+].ClCCCl,98,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC(/C(C(OCC)=O)=C/C(OCC)=O)=C2)(C)C
Tan_1_17,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OC(C)C2=CC(Br)=CC=C2)=C1.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(CCl)Cl,60,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OC(C)C2=CC(Br)=CC(/C=C/C(OCC)=O)=C2)=C1
D_2_13,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.C=CS(=O)(C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F.ClCCCl,82,O=S(CC1=CC=CC(/C=C/S(=O)(C2=CC=CC=C2)=O)=C1)(OC3=C(C#N)C=CC=C3)=O
Yu_8_27,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC=C3.C=CS(=O)(C1=CC=CC=C1)=O.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.FC(F)(C(O)=O)F.O.FC(F)(F)C(=O)O[Cu]OC(=O)C(F)(F)F.ClCCCl,68,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC(/C=C/S(=O)(C4=CC=CC=C4)=O)=C3
D_1_30,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC(Br)=C(F)C=C2.FC(F)(F)C(=O)O[I](OC(=O)C(F)(F)F)c1ccccc1.CC(=O)[O-].CC(=O)[O-].[Pd+2].C[C@H](NC(=O)OC(C)(C)C)C(O)=O.OC(C(F)(F)F)C(F)(F)F,65,O=P(OC1=C(C#N)C=CC=C1)(OCC)CC2=CC(Br)=C(F)C(O)=C2
D_2_49,O=S(CC1=CC(/C=C/C(C)=O)=C(F)C=C1)(OC2=C(C#N)C=CC=C2)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,86,O=S(CC1=CC(/C=C/C(C)=O)=C(F)C(/C=C/C(OCC)=O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_5_15,O=S(CCC1=CC=CC=C1)(OC2=C(C#N)C=C(/C=C/C(OCC)=O)C=C2)=O.C=CC(N(C)C)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,50,O=S(CCC1=CC(/C=C/C(N(C)C)=O)=CC=C1)(OC2=C(C#N)C=C(/C=C/C(OCC)=O)C=C2)=O
Yu_4_35,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC=C(C)C=C2.CC(=O)OC(=O)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.O=C(OI(OC(C)=O)C1=CC=CC=C1)C.OC(C(F)(F)F)C(F)(F)F,60,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC=C(C)C(OC(C)=O)=C2
Yu_7_17,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC=C2)(C)C.C=CC(OCC1=CC=CC=C1)=O.CC(C)(C)C(=O)[O-].CC(C)(C)C(=O)[O-].[Pd+2].O=C([O-])C(C)(C)C.[Ag+].ClCCCl,73,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC(/C=C/C(OCC3=CC=CC=C3)=O)=C2)(C)C
Yu_1_23,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(C)C=CC=C3.C=CC1=CC=C(C(F)(F)F)C=C1.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,36,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=C(C)C=CC(/C=C/C4=CC=C(C(F)(F)F)C=C4)=C3
Tan_1_14,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OCC2=CC=C(OC)C=C2)=C1.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(CCl)Cl,51,N#CC(C(C)CC)(C(C)CC)C1=CC=CC([Si](C(C)C)(C(C)C)OCC2=CC=C(OC)C(/C=C/C(OCC)=O)=C2)=C1
Li_2_28,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC=C3.C=CC(N(C)C)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].CC(=O)[O-].[Cu+2].OC(C(F)(F)F)C(F)(F)F,66,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC(/C=C/C(N(C)C)=O)=C3
Yu_2_24,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC=C3.CCCC#CC1=CC=CC=C1.Cl[Rh]Cl.Cl[Rh]Cl.C[C]1[C](C)[C](C)[C](C)[C]1C.C[C]2[C](C)[C](C)[C](C)[C]2C.F[Sb-](F)(F)(F)(F)F.[Ag+].CCC(O)=O.[O-]P(=O)([O-])[O-].[Ag+].[Ag+].[Ag+].ClCCCl,72,O=C(N(C1=CC=CC=C1F)C2=C(C#N)C=CC=C2)CCC3=CC(OC)=CC(/C(C4=CC=CC=C4)=C/CCC)=C3
Jin_1_19,N#CC(C=C(OC)C=C1)=C1OCCCC2=CC(C)=CC=C2.C=C(C)C(OC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,70,N#CC(C=C(OC)C=C1)=C1OCCCC2=CC(C)=CC(/C=C(C)/C(OC)=O)=C2
Yu_5_15,O=C(N(C)CCOC1=C(C#N)C=CC=C1)C2=CC(C)=CC=C2.C=CC(OC1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=C(O)[C@H](C(C)C)NC(C)=O.CC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+].CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,89,O=C(N(C)CCOC1=C(C#N)C=CC=C1)C2=CC(C)=CC(/C=C/C(OC3=CC=CC=C3)=O)=C2
Yu_7_1_7,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)[C@@H](N3C(C(C=CC=C4)=C4C3=O)=O)CC5=CC=CC=C5.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].OC(CNC(C)=O)=O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,40,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)[C@@H](N3C(C(C=CC=C4)=C4C3=O)=O)CC5=CC(/C=C/C(OCC)=O)=CC=C5
D_5_8,O=S(CCC1=CC=CC=C1)(OC2=C(C#N)C=CC=C2)=O.O=C(/C=C\C(OC)=O)OC.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,52,O=S(CCC1=CC=CC=C1)(OC2=C(C#N)C=C(/C(C(OC)=O)=C/C(OC)=O)C=C2)=O
Yu_6_8,O=C(N(C1=CC(OC)=CC=C1C#N)C2=C(C#N)C=CC(OC)=C2)CCC3=C(C)C=CC=C3.O=C(C1=CC=C(B2OC(C)(C)C(C)(C)O2)C=C1)OC.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.F[P-](F)(F)(F)(F)F.CCCC[N+](CCCC)(CCCC)CCCC.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,85,O=C(N(C1=CC(OC)=CC=C1C#N)C2=C(C#N)C=CC(OC)=C2)CCC3=C(C)C=CC(C4=CC=C(C(OC)=O)C=C4)=C3
D_7_13,O=S(CC1=C(Br)C=CC=C1)(OC2=C(C#N)C=CC=C2)=O.FC(F)(F)C(=O)O[I](OC(=O)C(F)(F)F)c1ccccc1.CC(=O)[O-].CC(=O)[O-].[Pd+2].C(C(=O)O)NC=O.OC(C(F)(F)F)C(F)(F)F,60,O=S(CC1=C(Br)C=CC(O)=C1)(OC2=C(C#N)C=CC=C2)=O
D_8_43,N#CC(C=C(OC)C=C1)=C1OCCC2=CC=CC=C2.BrC#CC1(O[Si](C)(C)C)C(C(C)C)CC(C)CC1.Cl[Rh].Cl[Rh].C1CC=CCCC=C1.C2CC=CCCC=C2.[O-]S(=O)(=O)[O-].[Ag+].[Ag+].ClCCCl,72,N#CC(C=C(OC)C=C1)=C1OCCC2=CC=CC(C#CC3(O[Si](C)(C)C)C(C(C)C)CC(C)CC3)=C2
Jin_1_12,N#CC(C=C(OC)C=C1)=C1OCC(C)OC2=CC=C(C)C=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,82,N#CC(C=C(OC)C=C1)=C1OCC(C)OC2=CC=C(C)C(/C=C/C(OCC)=O)=C2
D_9_5,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=CC=C(OC)C=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,72,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=CC=C(OC)C(/C=C/C(OCC)=O)=C2
D_10_1,O=S(CC1=CC=CC=C1)(OC2=C(C#N)C=CC(OC)=C2)=O.C[Si](C)(C)[Si](C)(C)C.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,45,O=S(CC1=CC=CC([Si](C)(C)C)=C1)(OC2=C(C#N)C=CC(OC)=C2)=O
Yu_9_39,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=CC=C1)(N2CC3(CCCCC3)C4=C2C=C([H])C=C4)=O.O=C(OC)C1=CCCC1.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,72,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2CC3(CCCCC3)C4=C2C=C(C5C(C(OC)=O)=CCC5)C=C4)=O
D_7_28,O=S(CC1=CC=CC=C1OC(F)(F)F)(OC2=C(C#N)C=CC=C2)=O.CC(OI(OC(C)=O)C1=CC=CC=C1)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].C[C@H](NC(=O)OC(C)(C)C)C(O)=O.OC(C(F)(F)F)C(F)(F)F,57,O=S(CC1=CC=CC(OC(C)=O)=C1OC(F)(F)F)(OC2=C(C#N)C=CC=C2)=O
D_9_18,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=C(Br)C=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.C(=O)([O-])[O-].[Ag+].[Ag+].OC(C(F)(F)F)C(F)(F)F,53,O=C(OC1=C(C#N)C=C(OC)C=C1)CC2=C(Br)C=CC(/C=C/C(OCC)=O)=C2
Li_3_28,O=C(N(C1=CC=CC=C1C(O)=O)C)CCC2=C(C)C(C)=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].O=C(O)C(NC(=O)C)CC=1C=CC=CC1.CC(C)(C)C(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,67,O=C(N(C1=CC=CC=C1C(O)=O)C)CCC2=C(C)C(C)=CC(/C=C/C(OCC)=O)=C2
Yu_1_4,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(C)C=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,72,O=C(N(C1=CC=CC=C1C#N)C2=CC=CC=C2C#N)C(C)(C)OC3=CC=C(C)C(/C=C/C(OCC)=O)=C3
Yu_9_7,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2CCC3=C2C=C([H])C(F)=C3)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,58,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2CCC3=C2C=C(/C=C/C(OCC)=O)C(F)=C3)=O
Yu_9_9,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C(C)CC3=C2C=C([H])C=C3)=O.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].C(C(F)(F)F)(C(F)(F)F)O,66,O=S(C1=CC(C(CC(C)C)(C#N)CC(C)C)=C(OC)C=C1)(N2C(C)CC3=C2C=C(/C=C/C(OCC)=O)C=C3)=O
Yu_7_23,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC=C2)(C)C.O=C(/C=C\CC)OC.CC(C)(C)C(=O)[O-].CC(C)(C)C(=O)[O-].[Pd+2].O=C([O-])C(C)(C)C.[Ag+].ClCCCl,81,CC(C(C=C1C(C)(C)C)=CC(C(CC(C)C)(CC(C)C)C#N)=C1OCC2=CC(C)=CC(/C(CC)=C/C(OC)=O)=C2)(C)C
Yu_4_21,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC(C)=CC=C2.C=CP(OCC)(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,76,O=C(C(F)OC1=C(C#N)C=CC=C1)N(C)C2=CC(C)=CC(/C=C/P(OCC)(OCC)=O)=C2
Li_2_6,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC=C3.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].CC(=O)[O-].[Cu+2].OC(C(F)(F)F)C(F)(F)F,82,O=C(N(S(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)CCC2=C(C#N)C=CC=C2)C3=CC(C)=CC(/C=C/C(OCC)=O)=C3
Jin_1_15,O=C(OC(C)(C)C)N(CCOC1=C(C#N)C=C(OC)C=C1)C2=CC=CC=C2.C=CC(OCC)=O.CC(=O)[O-].CC(=O)[O-].[Pd+2].CC(=O)NCC(=O)O.CC(=O)[O-].[Ag+].OC(C(F)(F)F)C(F)(F)F,74,O=C(OC(C)(C)C)N(CCOC1=C(C#N)C=C(OC)C=C1)C2=CC=CC=C2
